Trial	ObservationNumber	Tank	Treatment	UniqueTank	Observer	Individual1	Individual2	FacetofaceYN	AntennaeOnlyYN	StartTime	StartTimeMinutes	StartTimeSeconds	EndTime	EndTimeMinutes	EndTimeSeconds	Duration
3	49.1	4	12	35	Cari	PG	YG	0	0	31:39:00	31	39	35:43:00	35	43	244
1	49.2	12	8	7	Cari	G	P	0	1	3:16	3	16	3:27	3	27	11
3	49.2	4	12	35	Cari	YG	RG	0	0	31:39:00	31	39	35:43:00	35	43	244
1	50	12	8	7	Cari	G	C	0	0	4:17	4	17	9:57	9	57	340
2	50	2	13	24	Skylar	B	RG	0	0	4:25	4	25	4:33	4	33	8
4	50	8	10	43	Cari	Y	P	0	0	43:30:00	43	30	43:50:00	43	50	20
3	50.1	4	12	35	Cari	PG	YG	0	0	33:34:00	33	34	37:06:00	37	6	212
3	50.2	4	12	35	Cari	YG	RG	0	0	33:34:00	33	34	37:06:00	37	6	212
3	51	4	12	35	Cari	YG	P	0	0	34:41:00	34	41	36:42:00	36	42	121
4	51	8	10	43	Cari	Y	P	0	0	44:59:00	44	59	45:00:00	45	0	1
1	51.1	12	8	7	Cari	G	Y	0	0	4:51	4	51	8:51	8	51	240
2	51.1	2	13	24	Skylar	C	RB	1	0	5:30	5	30	8:46	8	46	196
1	51.2	12	8	7	Cari	Y	C	0	0	4:51	4	51	8:51	8	51	240
2	51.2	2	13	24	Skylar	RB	P	1	0	5:30	5	30	8:46	8	46	196
2	52	2	13	24	Skylar	YB	GB	0	0	6:18	6	18	8:46	8	46	148
4	52	7	5	39	Cari	G	Y	0	1	17:25	17	25	17:26	17	26	1
1	52.1	12	8	7	Cari	G	Y	0	0	6:30	6	30	8:43	8	43	133
3	52.1	4	12	35	Cari	YG	RG	0	0	35:48:00	35	48	37:34:00	37	34	106
1	52.2	12	8	7	Cari	Y	C	0	0	6:30	6	30	8:43	8	43	133
3	52.2	4	12	35	Cari	YG	PG	0	0	35:48:00	35	48	37:34:00	37	34	106
3	52.3	4	12	35	Cari	P	RG	0	0	35:48:00	35	48	37:34:00	37	34	106
3	52.4	4	12	35	Cari	P	PG	0	0	35:48:00	35	48	37:34:00	37	34	106
1	53	12	8	7	Cari	B	RG	1	0	7:28	7	28	8:35	8	35	67
2	53	2	13	24	Skylar	P	YG	1	0	10:30	10	30	12:03	12	3	93
3	53	4	12	35	Cari	YG	RB	0	0	37:34:00	37	34	37:59:00	37	59	25
4	53	4	12	46	Cari	RB	YB	0	0	0:00	0	0	2:19	2	19	139
1	54	12	8	7	Cari	RG	O	1	0	11:21	11	21	13:55	13	55	154
2	54	2	13	24	Skylar	C	O	0	0	17:01	17	1	19:08	19	8	127
3	54	4	12	35	Cari	RG	P	0	0	38:33:00	38	33	38:40:00	38	40	7
4	54	4	12	46	Cari	YG	Y	0	0	0:00	0	0	1:03	1	3	63
1	55	12	8	7	Cari	Y	C	0	0	11:30	11	30	14:07	14	7	157
2	55	2	13	24	Skylar	P	PG	0	1	17:53	17	53	17:55	17	55	2
3	55	4	12	35	Cari	RG	P	0	0	39:52:00	39	52	44:30:00	44	30	278
4	55	4	12	46	Cari	P	O	0	0	0:22	0	22	2:01	2	1	99
1	56	12	8	7	Cari	G	Y	0	0	12:35	12	35	12:36	12	36	1
2	56	2	13	24	Skylar	YB	R	0	0	19:53	19	53	20:29	20	29	36
3	56	4	12	35	Cari	RB	Y	0	0	41:37:00	41	37	42:05:00	42	5	28
4	56	4	12	46	Cari	RB	P	0	0	2:30	2	30	6:20	6	20	230
1	57	12	8	7	Cari	C	G	0	0	14:16	14	16	14:35	14	35	19
2	57	2	13	24	Skylar	YB	RB	0	0	21:54	21	54	22:45	22	45	51
3	57	4	12	35	Cari	YG	P	0	0	41:51:00	41	51	42:12:00	42	12	21
4	57.1	4	12	46	Cari	RB	YB	0	1	4:15	4	15	4:16	4	16	1
4	57.2	4	12	46	Cari	P	YB	0	1	4:15	4	15	4:16	4	16	1
1	58	12	8	7	Cari	G	Y	0	0	16:00	16	0	19:19	19	19	199
2	58	2	13	24	Skylar	B	G	0	0	23:00	23	0	23:13	23	13	13
4	58	4	12	46	Cari	P	R	1	0	10:08	10	8	10:57	10	57	49
3	58.1	4	12	35	Cari	RB	B	0	0	42:05:00	42	5	45:00:00	45	0	175
3	58.2	4	12	35	Cari	B	Y	0	0	42:05:00	42	5	45:00:00	45	0	175
1	59	12	8	7	Cari	O	C	0	0	18:25	18	25	18:38	18	38	13
2	59	2	13	24	Skylar	RG	PG	0	0	24:05:00	24	5	24:44:00	24	44	39
